model,accuracy,macro_precision,macro_recall,macro_f1,low_f1,medium_f1,high_f1,low_support,medium_support,high_support,cv_macro_f1,best_params,n_candidates
mlp,0.37402885682574916,0.36321514830795953,0.36158853539043107,0.35721338294688154,0.48043184885290147,0.26124197002141325,0.32996632996632996,386,267,248,0.3621691858903974,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [64]}",6
svm,0.3751387347391787,0.35617080789621164,0.3585122213729579,0.35591560797114913,0.4895287958115183,0.25101214574898784,0.3272058823529412,386,267,248,0.3529110758143338,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
gradient_boosting,0.37402885682574916,0.3704513696711286,0.3649476419142627,0.3547226335372711,0.4792243767313019,0.2383177570093458,0.34662576687116564,386,267,248,0.35326355359348904,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
random_forest,0.36736958934517205,0.3651375182571069,0.3603424694979512,0.349234761207083,0.4682651622002821,0.23148148148148148,0.34795763993948564,386,267,248,0.367954182500818,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
logistic_regression,0.28967813540510545,0.3134072351376174,0.2928109825529387,0.2827106217680452,0.327212020033389,0.3011889035667107,0.21973094170403587,386,267,248,0.2886043335761568,"{""classifier__C"": 0.1}",3
knn,0.28523862375138737,0.31703800009546473,0.3152050347395023,0.27678743906464504,0.17177914110429449,0.3008595988538682,0.35772357723577236,386,267,248,0.2961999288685041,"{""classifier__n_neighbors"": 3}",3
majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
