student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
32,hrv.csv,1,7238,"timestamp, rmssd, coverage, low_frequency, high_frequency",89,0,28952,0.0,2025-03-15,2025-06-16
32,oxygen.csv,1,40383,"timestamp, value",93,0,40383,0.0,2025-03-13,2025-06-17
32,stress.csv,1,85,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",85,0,170,0.0,2025-03-15,2025-06-17
33,daily_questions.csv,1,115,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",115,0,230,0.0,2025-03-04,2025-07-01
33,sleep.csv,1,78,"timestamp, overall_score, deep_sleep_in_minutes",76,0,156,0.0,2025-04-08,2025-06-22
33,activity_level.csv,1,42655,"timestamp, level",78,0,42655,0.0,2025-04-07,2025-06-23
33,steps.csv,1,11600,"timestamp, steps",78,0,11600,0.0,2025-04-07,2025-06-23
33,hrv.csv,1,6552,"timestamp, rmssd, coverage, low_frequency, high_frequency",76,0,26208,0.0,2025-04-07,2025-06-21
33,oxygen.csv,1,43648,"timestamp, value",76,0,43648,0.0,2025-04-08,2025-06-22
33,stress.csv,1,71,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",71,0,142,0.0,2025-04-08,2025-06-22
34,daily_questions.csv,1,111,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",110,0,222,0.0,2025-03-06,2025-07-04
34,sleep.csv,1,75,"timestamp, overall_score, deep_sleep_in_minutes",74,0,150,0.0,2025-03-14,2025-06-27
34,activity_level.csv,1,82552,"timestamp, level",97,0,82552,0.0,2025-03-13,2025-06-27
34,steps.csv,1,40245,"timestamp, steps",97,0,40245,0.0,2025-03-13,2025-06-27
34,hrv.csv,1,5713,"timestamp, rmssd, coverage, low_frequency, high_frequency",83,0,22852,0.0,2025-03-14,2025-06-27
34,oxygen.csv,1,35914,"timestamp, value",92,0,35914,0.0,2025-03-14,2025-06-27
34,stress.csv,1,74,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",74,0,148,0.0,2025-03-14,2025-06-27
35,daily_questions.csv,1,81,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",81,0,162,0.0,2025-04-06,2025-06-30
35,sleep.csv,1,35,"timestamp, overall_score, deep_sleep_in_minutes",34,0,70,0.0,2025-04-08,2025-05-13
35,activity_level.csv,1,28944,"timestamp, level",38,0,28944,0.0,2025-04-07,2025-05-14
35,steps.csv,1,14009,"timestamp, steps",38,0,14009,0.0,2025-04-07,2025-05-14
35,hrv.csv,1,3475,"timestamp, rmssd, coverage, low_frequency, high_frequency",34,0,13900,0.0,2025-04-08,2025-05-13
35,oxygen.csv,1,19908,"timestamp, value",35,0,19908,0.0,2025-04-09,2025-05-13
35,stress.csv,1,36,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",36,0,72,0.0,2025-04-08,2025-05-13
