student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
7,steps.csv,1,30896,"timestamp, steps",107,0,30896,0.0,2025-02-20,2025-06-09
7,hrv.csv,1,7636,"timestamp, rmssd, coverage, low_frequency, high_frequency",103,0,30544,0.0,2025-02-21,2025-06-07
7,oxygen.csv,1,43232,"timestamp, value",105,0,43232,0.0,2025-02-21,2025-06-08
7,stress.csv,1,84,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",84,0,168,0.0,2025-02-21,2025-06-07
8,daily_questions.csv,1,104,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",104,0,208,0.0,2025-02-17,2025-06-11
8,sleep.csv,1,103,"timestamp, overall_score, deep_sleep_in_minutes",100,0,206,0.0,2025-02-21,2025-06-09
8,activity_level.csv,1,76525,"timestamp, level",110,0,76525,0.0,2025-02-20,2025-06-09
8,steps.csv,1,30659,"timestamp, steps",110,0,30659,0.0,2025-02-20,2025-06-09
8,hrv.csv,1,8385,"timestamp, rmssd, coverage, low_frequency, high_frequency",102,0,33540,0.0,2025-02-20,2025-06-08
8,oxygen.csv,1,50475,"timestamp, value",109,0,50475,0.0,2025-02-21,2025-06-09
8,stress.csv,1,91,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",91,0,182,0.0,2025-02-21,2025-06-09
9,daily_questions.csv,1,60,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",60,0,120,0.0,2025-02-22,2025-06-13
9,sleep.csv,1,63,"timestamp, overall_score, deep_sleep_in_minutes",61,0,126,0.0,2025-02-21,2025-06-04
9,activity_level.csv,1,66060,"timestamp, level",111,0,66060,0.0,2025-02-20,2025-06-12
9,steps.csv,1,23063,"timestamp, steps",111,0,23063,0.0,2025-02-20,2025-06-12
9,hrv.csv,1,5745,"timestamp, rmssd, coverage, low_frequency, high_frequency",71,0,22980,0.0,2025-02-20,2025-06-04
9,oxygen.csv,1,36774,"timestamp, value",86,0,36774,0.0,2025-02-21,2025-06-04
9,stress.csv,1,63,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",63,0,126,0.0,2025-02-21,2025-06-04
