condition,n_features,model,accuracy,macro_precision,macro_recall,macro_f1,low_f1,medium_f1,high_f1,low_support,medium_support,high_support
no_temporal,12,mlp,0.37402885682574916,0.36321514830795953,0.36158853539043107,0.35721338294688154,0.48043184885290147,0.26124197002141325,0.32996632996632996,386,267,248
no_temporal,12,svm,0.3751387347391787,0.35617080789621164,0.3585122213729579,0.35591560797114913,0.4895287958115183,0.25101214574898784,0.3272058823529412,386,267,248
no_temporal,12,gradient_boosting,0.37402885682574916,0.3704513696711286,0.3649476419142627,0.3547226335372711,0.4792243767313019,0.2383177570093458,0.34662576687116564,386,267,248
no_temporal,12,random_forest,0.36736958934517205,0.3651375182571069,0.3603424694979512,0.349234761207083,0.4682651622002821,0.23148148148148148,0.34795763993948564,386,267,248
no_temporal,12,logistic_regression,0.28967813540510545,0.3134072351376174,0.2928109825529387,0.2827106217680452,0.327212020033389,0.3011889035667107,0.21973094170403587,386,267,248
no_temporal,12,knn,0.28523862375138737,0.31703800009546473,0.3152050347395023,0.27678743906464504,0.17177914110429449,0.3008595988538682,0.35772357723577236,386,267,248
no_temporal,12,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248
deviation_only,24,gradient_boosting,0.416204217536071,0.40906262740820765,0.4104662283878396,0.40729577220355084,0.4882758620689655,0.3436293436293436,0.38998211091234347,386,267,248
deviation_only,24,mlp,0.4117647058823529,0.40122603321428857,0.40095871928433097,0.40042222752946594,0.5020352781546812,0.336996336996337,0.3622350674373796,386,267,248
deviation_only,24,svm,0.40066592674805773,0.37499020422281,0.3776065842400325,0.3745898970020787,0.5216316440049443,0.27139874739039666,0.33073929961089493,386,267,248
deviation_only,24,random_forest,0.3751387347391787,0.3745011445101772,0.3713908352066185,0.36346410143545355,0.46511627906976744,0.2625,0.3627760252365931,386,267,248
deviation_only,24,logistic_regression,0.3218645948945616,0.36627659900761395,0.34188515922037116,0.3226896127549995,0.27726432532347506,0.32460732984293195,0.36619718309859156,386,267,248
deviation_only,24,knn,0.29189789123196447,0.32788311854025776,0.32125867757230586,0.28203566960180715,0.17695473251028807,0.3324175824175824,0.336734693877551,386,267,248
deviation_only,24,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248
