feature_configuration,macro_f1_mean,macro_f1_sd,n_features_before_encoding,delta_vs_baseline
No temporal features,0.6285414701224589,0.02013965269931789,15,0.0
Semester week only,0.6484192201436192,0.01937740429993029,16,0.019877750021160323
One-day lag features,0.6558042023681699,0.015537522674254931,31,0.027262732245711074
Three-day rolling means,0.6510074748468985,0.01165359961764384,46,0.022466004724439603
Seven-day rolling means,0.6417316619896918,0.01782077197504671,46,0.013190191867232914
