feature_group,n_features,model,accuracy,macro_precision,macro_recall,macro_f1,low_f1,medium_f1,high_f1,low_support,medium_support,high_support
activity_only,5,random_forest,0.40069686411149824,0.42470223473146307,0.38604887022972784,0.3859918882034443,0.3464566929133858,0.34408602150537637,0.4674329501915709,86,85,116
all_wearable,12,mlp,0.41114982578397213,0.4103071888672331,0.4087032407189018,0.4087047826268247,0.4260355029585799,0.3516483516483517,0.4484304932735426,86,85,116
hrv_spo2_only,5,logistic_regression,0.40069686411149824,0.4111130502616096,0.40614258534207587,0.4009218314365373,0.4385026737967914,0.34375,0.4205128205128205,86,85,116
sleep_only,2,random_forest,0.3588850174216028,0.35493103723192226,0.3609525606553768,0.3539702581369248,0.2875,0.40404040404040403,0.37037037037037035,86,85,116
